name,race,gen,pctwhite,pcthisp,pctblack,pctapi,pctna,pct2race,White,African American,Hispanic,Asian,distinctiveness
emmanuel,hispanic,M,28.475,24.746,27.458,19.322,0,0,2.729683,2.722631,3.93155,2.026076,1.201867149
enrique,hispanic,M,6.383,89.362,0,4.255,0,0,2.120689,2.209815,3.939495,1.872328,1.729680289
eric,white,M,89.53,2.97,3.727,3.496,0.129,0.148,3.684838,2.825609,2.640147,2.360099,0.859229107
erica,white,F,80.057,9.335,8.699,1.627,0.212,0.071,3.388377,2.913926,2.741598,2.460386,0.474451513
erick,white,M,61.875,30,4.063,3.75,0.313,0,3.818608,2.611812,2.564072,2.484134,1.206796645
erika,white,F,73.523,18.46,6.224,1.266,0.105,0.422,3.465018,2.98647,2.571479,2.29891,0.478547978
erin,white,F,97.949,0.938,0.469,0.439,0.117,0.088,3.962376,2.431454,2.281473,2.345832,1.530922173
erlinda,hispanic,F,13.077,10,0,76.154,0,0.769,2.416436,3.16468,3.323594,2.269316,0.158913613
ernest,white,M,75.252,9.281,11.871,3.094,0.288,0.216,3.537051,2.646784,2.718132,2.227432,0.81891937
ernesto,hispanic,M,7.666,77.7,0.871,13.763,0,0,2.33862,2.453416,4.002113,2.239318,1.548697345
ernie,white,M,59.398,24.06,3.008,12.03,0.752,0.752,3.655399,2.902533,2.592165,2.254437,0.752865073
erwin,white,M,55.414,13.376,5.096,25.478,0,0.637,3.249053,2.909128,2.458023,2.223343,0.339924938
esmeralda,hispanic,F,9.701,82.836,1.493,5.97,0,0,2.24666,2.699147,3.690432,2.158305,0.991284534
esperanza,hispanic,F,8.134,84.211,0.478,7.177,0,0,2.240179,2.120283,4.235268,1.921195,1.995089
esteban,hispanic,M,7.865,89.326,0,2.809,0,0,2.088458,2.504731,3.905385,2.062076,1.400653493
estela,hispanic,F,10.828,82.166,0.637,5.732,0,0.637,2.754205,2.69255,3.705501,2.223942,0.951296708
estella,hispanic,F,28.421,52.632,12.632,5.263,0,1.053,2.823355,2.783286,3.552228,2.469736,0.728872757
esther,white,F,52.961,25.513,10.364,10.364,0.569,0.228,3.372265,2.650978,2.762769,2.291058,0.609495804
ethan,white,M,94.163,1.556,0.389,3.502,0,0.389,3.883951,2.643854,2.357452,2.385952,1.240096498
ethel,white,F,60.791,4.317,28.777,5.036,0.719,0.36,3.662499,2.518557,2.453508,2.049992,1.143942378
eugene,white,M,84.651,2.741,6.67,5.71,0.046,0.183,3.297835,2.912566,2.625386,2.197892,0.385268463
eunice,white,F,43.694,11.261,22.523,21.622,0.901,0,3.142746,2.567008,2.462109,2.166723,0.575738246
eva,white,F,67.595,20.824,5.234,5.902,0.223,0.223,3.37245,2.604698,3.095586,2.419979,0.276864037
evan,white,M,94.931,1.69,1.229,1.997,0,0.154,3.561153,2.481762,2.519737,2.477638,1.041415768
evangeline,hispanic,F,41.727,12.95,7.914,35.971,0.719,0.719,2.751596,2.793102,2.801314,2.265366,0.008211529
evelyn,white,F,66.497,13.706,11.313,7.832,0.218,0.435,3.379513,2.617964,2.722722,2.365987,0.656791024
